season,habitat,species,size,GCB
summer,pl2,cysp,45,0
summer,pl2,cysp,50,1.840677684
summer,pl2,cysp,51,0.61
summer,pl3,cysp,37,1.5
summer,pl3,cysp,38,0.5
summer,pl3,cysp,46,1.6
summer,rf2,cysp,53,0.768204483
summer,run1,cysp,45,1.165
summer,run1,cysp,45,1
summer,run1,cysp,54,1.3
summer,run1,cysp,54,0.972838842
summer,run1,cysp,54,1
summer,run2,cysp,47,2.64397066
summer,run2,cysp,47,1.055
summer,run3,cysp,56,1.329079618
summer,pl2,etbl,40,0.457682541
summer,pl2,etbl,42,0.6488613
summer,pl2,etbl,43,0.860104716
summer,pl2,etbl,46,0.809697029
summer,pl2,etbl,47,0.390617411
summer,pl2,etbl,48,0.476652384
summer,pl2,etbl,48,1.282384386
summer,rf2,etbl,42,2.022347378
summer,run1,etbl,59,2.022347378
summer,run2,etbl,46,0.472686374
summer,run2,etbl,46,0.303813542
summer,run2,etbl,47,0.667246012
summer,run3,etbl,44,1.144189412
summer,run3,etbl,45,1.110937931
summer,run3,etbl,45,1.421752292
summer,run3,etbl,45,0.47742128
summer,pl1,etsp,29,0.723366791
summer,pl1,etsp,36,1.291308749
summer,pl1,etsp,40,0.719207676
summer,pl3,etsp,28,1.865567331
summer,pl3,etsp,30,0.557666368
summer,pl3,etsp,46,0.239642711
summer,rf2,etsp,35,0.154691508
summer,run1,etsp,36,0.59782043
summer,run1,etsp,39,0.612528481
summer,run2,etsp,32,0.03
summer,run2,etsp,33,0.213765267
summer,run2,etsp,33,0.436271792
summer,run2,etsp,33,0.334707309
summer,run2,etsp,33,0.362790496
summer,run3,etsp,33,0.226240776
summer,run3,etsp,36,0.288500418
summer,run3,etsp,37,1.072804539
summer,run3,etsp,33,0.286225703
summer,run3,etsp,36,0.273044646
spring,pl2,cysp,73,4.556980016
spring,pl2,cysp,74,1.25050523
spring,pl2,cysp,62,6.5
spring,pl4,cysp,67,0.262181152
spring,pl5,cysp,93,4.545241083
spring,pl5,cysp,84,7.417011824
spring,pl5,cysp,77,0.862975138
spring,pl5,cysp,77,5.940703101
spring,rf1,cysp,68,8.082092462
spring,rf1,cysp,69,4.116229393
spring,rf1,cysp,53,2.028876363
spring,rf2,cysp,83,3.859630367
spring,rf2,cysp,74,4.27236192
spring,rf2,cysp,74,1.819161168
spring,rf2,cysp,67,1.52540628
spring,rf2,cysp,63,2.587227371
spring,rf4,cysp,64,2.607026833
spring,rf4,cysp,63,2.370470394
spring,rf5,cysp,75,2.717375585
spring,rf5,cysp,76,4.419171474
spring,rf5,cysp,58,4.196265635
spring,rf5,cysp,57,2.997812124
spring,rf5,cysp,65,4.656990322
spring,run1,cysp,78,0
spring,run2,cysp,63,1.573701176
spring,run2,cysp,63,1.236835215
spring,run3,cysp,73,2.986865394
spring,run3,cysp,64,4.341880096
spring,run4,cysp,63,2
spring,run4,cysp,56,2
spring,run5,cysp,62,6
spring,run5,cysp,62,0.75
spring,rf1,etbl,64,6.477369011
spring,rf1,etbl,61,10.42238792
spring,rf1,etbl,63,6.976431832
spring,rf1,etbl,58,3.064906943
spring,rf2,etbl,62,8.148424128
spring,rf2,etbl,64,7.984316785
spring,rf2,etbl,64,4.417804242
spring,rf3,etbl,72,7.937002344
spring,rf3,etbl,57,9.366675428
spring,rf3,etbl,60,4.086337236
spring,rf3,etbl,57,4.461653625
spring,rf4,etbl,62,1.874586393
spring,rf4,etbl,63,16.17175239
spring,rf4,etbl,56,4.25767141
spring,run2,etbl,65,4.477832014
spring,run2,etbl,68,7.947225169
spring,run5,etbl,67,0.82327723
spring,rf5,etbl,59,5.971842873
spring,rf5,etbl,59,5.927033595
spring,rf5,etbl,59,14.45966929
spring,rf5,etbl,59,10.12003095
spring,rf5,etbl,58,14.78136395
spring,pl5,etca,54,0.390622306
spring,rf1,etca,60,18.29491152
spring,rf1,etca,53,7.004296546
spring,rf1,etca,54,6.217844338
spring,rf1,etca,45,4.808949984
spring,rf1,etca,45,8.057413803
spring,rf2,etca,42,5.662809554
spring,rf2,etca,52,4.036061838
spring,rf2,etca,46,4.248461868
spring,rf2,etca,42,1.741226704
spring,rf2,etca,42,7.605552001
spring,rf3,etca,52,2.388678496
spring,rf3,etca,43,1.746250331
spring,rf3,etca,44,3.071187952
spring,rf3,etca,44,1.081696256
spring,rf3,etca,41,0.89993732
spring,rf4,etca,43,3.026465037
spring,rf4,etca,45,4.558161312
spring,rf4,etca,40,2.804462531
spring,rf4,etca,40,2.714970984
spring,rf4,etca,38,3.016630673
spring,rf5,etca,52,4.523075864
spring,rf5,etca,50,3.289082495
spring,rf5,etca,48,6.424536119
spring,rf5,etca,47,1.517755761
spring,rf5,etca,47,5.109695236
spring,pl3,etsp,47,0.681692977
spring,pl3,etsp,48,0.653783112
spring,pl4,etsp,48,2.176418898
spring,pl5,etsp,53,0.571421532
spring,pl5,etsp,48,1.210583321
spring,pl5,etsp,43,0.863781633
spring,rf1,etsp,51,3.570826539
spring,rf1,etsp,52,4.260662969
spring,rf1,etsp,43,0.954842561
spring,rf1,etsp,45,6.552730531
spring,rf1,etsp,43,1.150069289
spring,rf2,etsp,43,1.724461684
spring,rf2,etsp,42,3.245171651
spring,rf2,etsp,40,3.825954978
spring,rf2,etsp,41,1.096043729
spring,rf2,etsp,39,2.724265906
spring,rf3,etsp,45,1.44326553
spring,rf3,etsp,46,1.782783097
spring,rf3,etsp,42,0.788344386
