,coba.size,etbl.size,etca.size,etfl.size,etsp.size,fuca.size,lecy.size,leme.size,luzo.size,coba.fr,etbl.fr,etca.fr,etfl.fr,etsp.fr,fuca.fr,lecy.fr,leme.fr,luzo.fr,abun,general,dis,meancv,maxcv,canopy,coba,etbl,etca,etfl,etsp,fuca,lecy,leme,luzo,noex,benthic,wc,cent,Crayfish
bbs,,-0.393,1.269,-0.594,0.435,-0.817,-0.551,1.608,,,-0.411,0.841,1.502,0.327,0.478,0.944,-0.562,,0.540,1.728,-0.662,-0.969,-0.964,0.315,-1.110,0.006,-0.739,-0.758,2.624,-0.227,-0.939,0.165,-1.562,0.750,-0.358,0.365,-0.517,0.461
br,,-1.423,-1.535,0.365,-0.739,,,0.009,-0.787,,-0.542,-1.531,0.071,-0.204,,,-0.492,-0.400,-1.604,-1.865,-0.480,-0.456,-0.358,1.387,-0.598,0.893,-0.568,-0.595,-0.051,-0.515,-0.444,1.377,-0.514,-0.927,-0.230,1.021,1.351,-0.360
cs,-1.696,1.268,-0.773,1.697,-0.528,0.620,,-0.370,-0.527,-0.767,-0.714,-0.157,-1.344,-0.623,0.169,,0.461,-0.277,0.518,1.136,0.045,0.511,0.963,-1.858,-0.583,-0.798,2.075,-0.723,-0.592,-0.563,-0.939,-0.796,0.255,-0.116,1.104,-0.059,-0.764,0.391
ct,-0.004,,-1.695,-0.486,-2.383,1.922,,,1.327,0.570,,1.896,-0.707,-1.830,2.392,,,0.191,0.574,0.238,-0.451,-0.399,-0.565,-0.042,-0.013,-0.899,-0.828,0.227,-0.559,0.229,-0.797,-1.381,-0.101,-0.424,-0.757,-1.350,-1.278,-0.407
hz,-0.361,,1.010,0.767,0.967,-0.063,,0.837,-1.346,0.638,,0.021,1.184,-0.258,0.032,,0.797,-1.182,0.296,-0.547,1.850,1.980,1.792,-0.626,1.641,-0.932,1.059,1.002,-0.543,2.726,-0.868,-0.963,1.687,0.080,1.201,0.899,-0.875,-1.266
id,0.227,,0.223,-1.171,1.296,-1.223,-0.707,-1.352,-1.346,-0.693,,0.423,-0.500,0.278,-0.711,1.358,1.104,-0.252,0.216,0.046,-0.442,-0.263,0.087,-1.812,1.114,-0.966,-0.682,2.295,-0.395,-0.371,-0.585,-1.276,1.303,-0.424,1.027,-0.040,-1.021,2.695
ir,,-1.540,-0.342,-0.711,-0.129,,0.390,-0.847,-0.578,,0.666,-0.789,-0.203,0.404,,-1.233,-2.090,-0.412,-0.783,-0.684,-0.132,0.671,0.571,0.530,-1.110,2.183,0.636,0.314,-0.395,-0.707,0.547,0.938,-1.056,-0.675,1.017,1.297,1.363,-0.432
lbbs,,0.037,,-0.936,0.067,-0.817,,0.205,,,-0.970,,-0.196,-0.272,-0.643,,1.077,,-0.564,0.081,-0.795,-1.367,-1.617,-0.172,-1.110,-0.681,-1.381,-0.810,-0.231,-0.635,-0.585,1.398,-1.562,-1.067,-1.672,-0.631,1.105,-0.974
mn,1.278,,1.146,-0.261,-0.129,-0.580,1.387,-1.057,0.010,1.384,,-0.402,0.789,-0.394,-0.554,-0.433,0.280,-1.340,0.168,0.087,2.442,1.570,1.270,0.088,-0.510,-0.497,0.668,-0.653,-0.395,-0.227,0.193,-0.357,-0.700,-0.060,-0.266,-1.215,0.109,0.224
ty,,1.268,-0.195,0.365,,0.098,,1.187,0.191,,-0.938,-0.951,-1.803,,-0.824,,-1.142,-0.252,-0.965,-1.186,-0.724,-1.196,-1.302,1.463,-1.110,-0.849,-0.942,-0.647,-0.625,0.757,-0.302,-0.566,-0.664,-0.955,-1.539,-1.312,-0.361,-0.440
ml,0.555,0.306,-0.059,1.785,,,,0.738,0.626,-1.133,1.958,-0.935,0.384,,,,0.673,0.574,-1.285,-0.682,0.155,0.352,0.279,0.143,-1.052,0.073,0.701,1.060,-0.592,-0.755,-0.797,-0.169,1.338,-0.060,0.981,0.969,0.132,0.708
ro,,0.351,1.010,-0.819,0.615,0.861,-1.256,-0.959,1.254,,-0.013,0.381,0.824,0.220,-0.339,-0.739,-0.104,1.293,0.859,0.530,-0.499,-0.160,0.187,-0.025,-1.110,0.223,-0.454,-0.711,1.131,-0.467,1.679,1.252,-0.571,2.232,-0.547,-0.965,1.463,0.156
dc,,0.127,-0.059,,0.529,,0.737,,1.175,,0.963,1.201,-1.979,2.352,,0.102,-3.908,2.058,2.031,1.120,-0.308,-0.274,-0.343,0.609,-1.110,1.279,0.457,-0.839,-0.625,-0.755,1.962,-1.005,-0.977,1.645,0.040,1.021,-0.708,-0.756
