,etca.size,etca.fr,etfl.size,etfl.fr,etni.size,etni.fr,etsp.size,etsp.fr,nobo.size,nobo.fr,meancv,maxcv,depth,canopy,total,general,etca,etfl,etni,etsp,nobo,totalfish,benthic,wc,cent,totalfishB,benthicB,wcB,centB
1,0.2869,-0.1526,-0.1444,0.7411,,,0.3751,-0.1091,-0.1429,0.5477,0.385,0.807,-0.783,-0.421,0.805,0.909,-0.025,0.570,-0.895,-0.328,1.479,1.128,-0.196,1.324,-0.970,-1.307,-0.955,0.491,-1.164
2,-0.7004,0.1879,0.3859,0.6254,,,-1.317,0.8588,,,0.676,0.707,-1.412,0.248,-0.151,-0.076,-0.315,1.131,-0.302,-0.519,-0.239,-0.482,-0.138,-0.332,-0.792,-0.404,0.045,0.067,-0.299
3,-1.0442,-1.2368,-0.8426,-0.4201,,,-0.2204,-0.2929,,,0.566,1.145,0.475,0.537,0.989,1.042,1.722,2.237,-0.895,-0.328,-1.006,-0.766,1.210,-1.096,-0.970,-0.983,1.094,-0.800,-1.164
4,-0.0352,-0.1768,-1.4326,-0.5798,,,-0.4286,-0.0273,-0.1429,-0.7159,2.798,1.729,-0.927,-1.347,2.198,2.083,2.474,0.637,-0.895,0.554,0.738,0.917,1.531,0.924,-0.532,0.287,1.160,-0.138,0.121
5,1.8028,0.8321,1.0169,1.1358,,,1.2826,-0.6675,1.3521,-0.2147,1.368,2.064,-1.836,-0.733,1.585,1.606,0.964,1.626,-0.895,1.327,0.589,0.643,1.347,0.567,-0.855,0.626,1.640,2.041,-0.913
6,,,1.0169,-1.5023,-1.6188,-1.2374,,,,,-0.596,-0.701,0.252,-0.105,-1.022,-0.985,-0.817,-0.765,-0.135,-0.328,-0.710,-0.602,-0.762,-0.565,1.005,0.110,-0.865,-0.736,0.656
7,0.6023,0.7209,,,1.0839,-0.2634,-1.086,2.127,-1.0865,1.3075,-0.472,-0.393,-0.169,-0.377,-0.775,-0.594,0.025,-0.396,2.026,1.841,1.757,1.784,1.067,1.779,-0.321,0.624,1.264,1.540,-0.253
8,-1.0442,-1.1476,,,-0.0731,-0.9378,-0.2204,0.3213,,,-0.596,-0.701,-0.348,0.284,0.138,0.076,-0.598,-0.579,2.026,0.914,0.162,0.743,0.261,0.618,1.171,0.999,-0.234,1.433,0.765
9,-0.5314,1.8366,,,0.6771,0.9419,-0.2204,-1.657,-0.9774,-1.4634,-0.596,-0.701,-0.455,0.514,-0.308,-0.018,-0.384,-0.765,0.605,0.085,1.280,0.914,-0.237,1.085,-0.579,-0.953,-0.328,0.016,-0.726
10,-0.7004,0.3115,,,-0.6421,0.2422,0.3751,-0.9574,,,-0.596,-0.701,0.178,-2.590,-1.357,-1.168,0.025,-0.579,0.238,0.165,0.468,0.596,0.039,0.257,-0.579,-0.763,0.644,-0.604,-0.681
11,,,,,,,,,,,-0.596,-0.701,0.496,0.915,-0.313,-0.792,-0.817,-0.765,-0.895,-1.237,-1.064,-1.595,-1.369,-1.064,0.118,-0.435,-1.305,-0.563,0.265
12,,,,,,,,,,,-0.596,-0.701,1.834,1.198,-0.494,-0.860,-0.817,-0.765,0.361,-1.237,-1.097,-1.032,-1.020,-1.174,1.461,1.240,0.226,-1.031,1.441
13,,,,,,,,,,,-0.596,-0.701,0.454,1.122,-0.968,-0.730,-0.817,-0.765,-0.895,-1.237,-1.001,-0.848,-1.369,-1.092,1.978,1.864,-1.305,-1.031,2.090
14,,,,,0.573,1.2545,2.1019,-0.2148,0.9976,0.5387,-0.554,-0.453,0.842,0.153,-0.353,-0.720,-0.817,-0.765,-0.010,-0.941,-0.433,-0.528,-1.082,-0.306,0.723,0.592,-1.207,0.335,0.869
15,1.3636,-1.1753,,,,,-0.6421,0.6187,,,-0.596,-0.701,1.400,0.603,0.024,0.228,0.195,-0.056,0.564,1.267,-0.924,-0.873,0.719,-0.924,-0.858,-1.498,0.126,-1.020,-1.007
